timestep,K2064010,V4145210,V5004030,V5015210
224,0.36244503,-0.8629417,-1.5360857,5.020395
225,0.23641777,-0.74251837,-1.4136993,5.195917
226,0.205276,-0.8144422,-1.5266436,5.0439496
227,0.21101902,-0.8148031,-1.5315684,5.0453935
228,0.37912104,-0.8576581,-1.543105,5.022328
229,0.2053497,-0.8154623,-1.5277745,5.0476537
230,0.19668071,-0.81953794,-1.5234295,5.051201
231,0.18449934,-0.8245587,-1.5173577,5.0546317
232,0.17485984,-0.8333455,-1.5220624,5.0524206
233,0.15175582,-0.86236495,-1.5504843,5.040315
234,0.082249515,-0.9521022,-1.7127247,4.962363
235,0.082703285,-0.9503763,-1.7128166,4.963211
236,0.08378125,-0.9500246,-1.711933,4.963385
237,0.083675735,-0.9500782,-1.7122971,4.964371
238,0.08211707,-0.94994617,-1.7121192,4.96368
239,0.082722135,-0.94948536,-1.7123615,4.963608
240,0.082474045,-0.95040196,-1.709551,4.963385
241,0.082197554,-0.9506567,-1.7087857,4.9642067
242,0.08211842,-0.94837016,-1.7084152,4.9641147
243,0.08170739,-0.9482007,-1.7091055,4.9643135
244,0.081285544,-0.9478763,-1.7076164,4.9642143
245,0.081394844,-0.9477795,-1.7082638,4.9646015
246,0.15033855,-0.86543655,-1.5516572,5.0400047
247,0.17213319,-0.8359151,-1.5203729,5.0517516
248,0.18241078,-0.82663155,-1.5126462,5.057461
249,0.19418155,-0.82125825,-1.5138379,5.057241
250,0.19932055,-0.81879216,-1.5179878,5.056311
251,0.37253138,-0.8595435,-1.5386782,5.0297685
252,0.36875024,-0.8619349,-1.5386267,5.0310745
253,0.19974811,-0.81994647,-1.5191468,5.0580964
254,0.19168139,-0.82362324,-1.5153006,5.0619636
255,0.17921512,-0.8302112,-1.512577,5.060825
256,0.16867702,-0.8417354,-1.5224115,5.0591083
257,0.14922754,-0.87067217,-1.5518789,5.0484276
258,0.08016986,-0.95141244,-1.7098942,4.974133
259,0.08020038,-0.9523843,-1.7101334,4.973313
260,0.07977185,-0.9517874,-1.7097845,4.974123
261,0.08012882,-0.9507742,-1.7077242,4.973301
262,0.0799265,-0.9505417,-1.7084227,4.97594
263,0.07903112,-0.9500348,-1.7077926,4.976378
264,0.07928755,-0.9505734,-1.7078658,4.9752293
265,0.080118366,-0.9506898,-1.7073919,4.975967
266,0.078823216,-0.94930094,-1.7065768,4.9749312
267,0.079921894,-0.9478757,-1.7060771,4.9755816
268,0.07850548,-0.9481094,-1.7064861,4.9769025
269,0.07859665,-0.94820446,-1.7056783,4.9764123
270,0.14154395,-0.87343675,-1.5539246,5.0484962
271,0.16096151,-0.8438991,-1.5224913,5.062474
272,0.17090024,-0.83280724,-1.513054,5.0656643
273,0.18007286,-0.8252346,-1.5085983,5.069781
274,0.18653212,-0.82331806,-1.5104471,5.0677133
275,0.1890936,-0.82180315,-1.5124084,5.0673313
276,0.18922204,-0.82284164,-1.5130482,5.0698924
277,0.1843869,-0.82496333,-1.511293,5.0718517
278,0.17684488,-0.8272744,-1.5117005,5.072984
279,0.16815323,-0.83717185,-1.5134987,5.0700364
280,0.15776585,-0.84802467,-1.524356,5.0676503
